category_name,channel_id
Entertainment,UCstEtN0pgOmCf02EdXsGChw
Music,UCN9HPn2fq-NL8M5_kp4RWZQ
Music,UCaum3Yzdl3TbBt8YUeUGZLQ
Entertainment,UCrFiA0hztL9e8zTi_qBuW4w
Film and Animation,UCyoXW-Dse7fURq30EWl_CUA
Entertainment,UCJ0uqCI0Vqr2Rrt1HseGirg
Music,UCq3Ci-h945sbEYXpVlw7rJg
Sports,UCVtFOytbRpEvzLjvqGG5gxQ
Gaming,UCAW-NpUFkMyCNrvRSSGIvDQ
Entertainment,UCwD4x63A9KC7Si2RuSfg-SA
Music,UC6pjHMC4QXMi4llCCjtDXWg
Entertainment,UCIEv3lZ_tNXHzL3ox-_uUGQ
Gaming,UCm3hAp1m1xlAz0ve_EKAo4g
Film and Animation,UCDLmS9vkPcTz3cAc-c9QIzg
Comedy,UC7eHZXheF8nVOfwB2PEslMw
Comedy,UCpsSadsgX_Qk9i6i_bJoUwQ
Music,UCf3cbfAXgPFL6OywH7JwOzA
Howto & Style,UCGwPbAQdGA3_88WBuGtg9tw
Gaming,UCC-RHF_77zQdKcA75hr5oTQ
Music,UCe4LM_eKc9ywRmVuBm5pjQg
Music,UCNnwYefwrkVBAbMUzLpxbEQ
Music,UCNhqvQMXIgRfjAGmxQqdNRw
Entertainment,UCwjoPtSoNLAoX2sLBaKLYng
Sports,UCKvn9VBLAiLiYL4FFJHri6g
Entertainment,UCn8zNIfYAQNdrFRrr8oibKw
Gaming,UCshoKvlZGZ20rVgazZp5vnQ
Entertainment,UCelMeixAOTs2OQAAi9wU8-g
Music,UCmKdSrwf1e8coqAzUsrVHZw
Entertainment,UCCI5Xsd_gCbZb9eTeOf9FdQ
Music,UCgtNC51EUSgcZ6kKyVoPxKA
Music,UC5H_KXkPbEsGs0tFt8R35mA
Gaming,UCKy1dAqELo0zrOtPkf0eTMw
People & Blogs,UCmh5gdwCx6lN7gEC20leNVA
Entertainment,UC6sSkkemzPjmrzS0Y0V_2zw
Entertainment,UCWr4vlkj5xXQ4bSXNeTT2AA
Music,UC_TVqp_SyG6j5hG-xVRy95A
Entertainment,UC0v-tlzsn0QZwJnkiaUSJVQ
Music,UCByOQJjav0CUDwxCk-jVNRQ
Education,UCsPF3cApzCohxPp5oKdoWSQ
News & Politics,UCttspZesZIDEwwpVIgoZtWQ
Gaming,UC2wKfjlioOCLP4xQMOWNcgg
Entertainment,UCi-5OZ2tYuwMLIcEyOsbdRA
People & Blogs,UCBqFKDipsnzvJdt6UT0lMIg
Comedy,UCuouUWCLmpG4Dje3Ay0p1oQ
Gaming,UCBw-Dz6wHRkxiXKCLoWqDzA
Film and Animation,UCYUQQgogVeQY8cMQamhHJcg
Entertainment,UCeV2O_6QmFaaKBZHY3bJgsA
Entertainment,UCvC4D8onUfXzvjTOM-dBfEA
Howto & Style,UCap97Ue8K_BpKlrvQRYd6JA
Entertainment,UC_k8KFBzEf0uQ8LRFSAgSUA
Music,UCulYu1HEIa7f70L2lYZWHOw
Education,UCX6b17PVsYBQ0ip5gyeme-Q
Music,UCt-am4x4ZyeohfgM85qFgdQ
Gaming,UCj5i58mCkAREDqFWlhaQbOw
Music,UCz2SUbUr2k0T3nEmutgsPjg
Gaming,UCBUVGPsJzc1U8SECMgBaMFw
Music,UC-J-KZfRV8c13fOCkhXdLiQ
Music,UCQznUf1SjfDqx65hX3zRDiA
Music,UClkRzsdvg7_RKVhwDwiDZOA
Gaming,UC1ieoHqKW-yYgDhLHIcx28w
People & Blogs,UCkXgEcpoTE4tHsebYBouWpA
Entertainment,UCGt7X90Au6BV8rf49BiM6Dg
Entertainment,UC1r4VtVE__5K6c_L_3Vlxxg
Entertainment,UC5nc_ZtjKW1htCVZVRxlQAQ
Howto & Style,UCc6W7efUSkd9YYoxOnctlFg
Education,UC1zZE_kJ8rQHgLTVfobLi_g
Comedy,UCkAGrHCLFmlK3H2kd6isipg
Entertainment,UCqwUrj10mAEsqezcItqvwEw
Entertainment,UCqdGW_m8Rim4FeMM29keDEg
Howto & Style,UCJFp8uSYCjXOMnkUyb3CQ3Q
Music,UCmdY1pHB-KbFYxOyhwjVeQw
Science & Technology,UCe_vXdMrHHseZ_esYUskSBw
Entertainment,UCplkk3J5wrEl0TNrthHjq4Q
Gaming,UCpqXJOEqGS-TCnazcHCo0rA
Film and Animation,UCzH3iADRIq1IJlIXjfNgTpA
Gaming,UC0DZmkupLYwc0yDsfocLh0A
Entertainment,UC_8PAD0Qmi6_gpe77S1Atgg
Entertainment,UCr8RjWUQ_9KYcIPmWiqBroQ
Howto & Style,UC0YvTCy1I4_a-3pn47_5DBA
Music,UCqk3CdGN_j8IR9z4uBbVPSg
Music,UC-y8ci7xfsu4L3zkSuHae0A
Gaming,UC-2Y8dQb0S6DtpxNgAKoJKA
People & Blogs,UCtZAaljDNIsIAIhwYYzvEiw
Entertainment,UC3ifTl5zKiCAhHIBQYcaTeg
Entertainment,UCvVuqRzGVqRlmZYlTf99M_w
People & Blogs,UCvthuVsurPaVz2a7_4LepGg
Music,UCvu362oukLMN1miydXcLxGg
Music,UCqFhfan_P2AmGVB1X2B-3Aw
Entertainment,UC-0D1RlSzcvBoODCKSoLl2g
Howto & Style,UC57XAjJ04TY8gNxOWf-Sy0Q
Music,UC4pEp0mo54WhEBCTYvjVDJA
Entertainment,UCDCNmuaOXOo25Yn4mbMHhhQ
Music,UCpmD3iT-8TQzRuygIiS9bAw
Comedy,UCN9wHzrHRdKVzCSeV-5RuzA
Film and Animation,UCDsO-0Yo5zpJk575nKXgMVA
